body_length,observation_count,cap_degree,unique_permutations,exhaustive_feasible,exact_rational_arithmetic_used,exhaustive_min,exhaustive_max,exhaustive_range,exhaustive_exact_min,exhaustive_exact_max,exhaustive_exact_range,sampled_permutations,sampled_min,sampled_max,sampled_range,sampled_exact_min,sampled_exact_max,sampled_exact_range,mismatch_if_both_available
6,2,3,28,True,True,91322.42,125355.62,34033.2,4566121/50,6267781/50,170166/5,28,91322.42,125355.62,34033.2,4566121/50,6267781/50,170166/5,False
6,2,4,28,True,True,3689425.768,5064367.048,1374941.28,461178221/125,633045881/125,34373532/25,28,3689425.768,5064367.048,1374941.28,461178221/125,633045881/125,34373532/25,False
6,2,5,28,True,True,166393102.1368,228402953.8648,62009851.728,207991377671/1250,285503692331/1250,7751231466/125,28,166393102.1368,228402953.8648,62009851.728,207991377671/1250,285503692331/1250,7751231466/125,False
6,3,1,84,True,True,80.5,125.5,45.0,161/2,251/2,45,84,80.5,125.5,45.0,161/2,251/2,45,False
6,3,2,84,True,True,3026.8,4718.8,1692.0,15134/5,23594/5,1692,84,3026.8,4718.8,1692.0,15134/5,23594/5,1692,False
6,3,3,84,True,True,129849.72,202436.52,72586.8,3246243/25,5060913/25,362934/5,84,129849.72,202436.52,72586.8,3246243/25,5060913/25,362934/5,False
6,3,4,84,True,True,6284726.448,9797927.568,3513201.12,785590806/125,1224740946/125,87830028/25,84,6284726.448,9797927.568,3513201.12,785590806/125,1224740946/125,87830028/25,False
6,3,5,84,True,True,340003700.8368,530067881.4288,190064180.592,212502313023/625,331292425893/625,23758022574/125,84,340003700.8368,530067881.4288,190064180.592,212502313023/625,331292425893/625,23758022574/125,False
6,4,1,210,True,True,80.5,140.5,60.0,161/2,281/2,60,210,80.5,140.5,60.0,161/2,281/2,60,False
6,4,2,210,True,True,3509.8,6125.8,2616.0,17549/5,30629/5,2616,210,3509.8,6125.8,2616.0,17549/5,30629/5,2616,False
6,4,3,210,True,True,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,210,175139.02,305677.42,130538.4,8756951/50,15283871/50,652692/5,False
6,4,4,210,True,True,9877840.728,17240206.488,7362365.76,1234730091/125,2155025811/125,184059144/25,210,9877840.728,17240206.488,7362365.76,1234730091/125,2155025811/125,184059144/25,False
6,4,5,210,True,True,623291749.9368,1087857029.3928,464565279.456,779114687421/1250,1359821286741/1250,58070659932/125,210,623291749.9368,1087857029.3928,464565279.456,779114687421/1250,1359821286741/1250,58070659932/125,False
6,5,1,462,True,True,80.5,155.5,75.0,161/2,311/2,75,462,80.5,155.5,75.0,161/2,311/2,75,False
6,5,2,462,True,True,3992.8,7712.8,3720.0,19964/5,38564/5,3720,462,3992.8,7712.8,3720.0,19964/5,38564/5,3720,False
6,5,3,462,True,True,227190.32,438858.32,211668.0,5679758/25,10971458/25,211668,462,227190.32,438858.32,211668.0,5679758/25,10971458/25,211668,False
6,5,4,462,True,True,14631056.608,28262475.808,13631419.2,1828882076/125,3532809476/125,68157096/5,462,14631056.608,28262475.808,13631419.2,1828882076/125,3532809476/125,68157096/5,False
6,5,5,462,True,True,1054899181.4368,2037724505.7568,982825324.32,659311988398/625,1273577816098/625,24570633108/25,462,1054899181.4368,2037724505.7568,982825324.32,659311988398/625,1273577816098/625,24570633108/25,False
7,0,1,1,True,True,100.1,100.1,0.0,1001/10,1001/10,0,1,100.1,100.1,0.0,1001/10,1001/10,0,False
7,0,2,1,True,True,2192.19,2192.19,0.0,219219/100,219219/100,0,1,2192.19,2192.19,0.0,219219/100,219219/100,0,False
7,0,3,1,True,True,53489.436,53489.436,0.0,13372359/250,13372359/250,0,1,53489.436,53489.436,0.0,13372359/250,13372359/250,0,False
7,0,4,1,True,True,1449563.7156,1449563.7156,0.0,3623909289/2500,3623909289/2500,0,1,1449563.7156,1449563.7156,0.0,3623909289/2500,3623909289/2500,0,False
7,0,5,1,True,True,43486911.468,43486911.468,0.0,10871727867/250,10871727867/250,0,1,43486911.468,43486911.468,0.0,10871727867/250,10871727867/250,0,False
7,1,1,8,True,True,100.1,121.1,21.0,1001/10,1211/10,21,8,100.1,121.1,21.0,1001/10,1211/10,21,False
7,1,2,8,True,True,2892.89,3499.79,606.9,289289/100,349979/100,6069/10,8,2892.89,3499.79,606.9,289289/100,349979/100,6069/10,False
7,1,3,8,True,True,93729.636,113393.196,19663.56,23432409/250,28348299/250,491589/25,8,93729.636,113393.196,19663.56,23432409/250,28348299/250,491589/25,False
7,1,4,8,True,True,3383639.8596,4093494.3756,709854.516,8459099649/2500,10233735939/2500,177463629/250,8,3383639.8596,4093494.3756,709854.516,8459099649/2500,10233735939/2500,177463629/250,False
7,1,5,8,True,True,135345594.384,163739775.024,28394180.64,16918199298/125,20467471878/125,709854516/25,8,135345594.384,163739775.024,28394180.64,16918199298/125,20467471878/125,709854516/25,False
